year,gu,dong,dong_key,total_population,elderly_population,elderly_alone,elderly_ratio,elderly_alone_ratio,elderly_ratio_score,elderly_alone_score,IVI,IVI_rank,IVI_grade
2021,용산구,한남동,용산구_한남동,22941.0,3759.0,1125,0.1638551065777429,0.29928172386272944,0.3660455544032093,0.47073567779836034,0.4183906161007848,146,B
2021,용산구,서빙고동,용산구_서빙고동,13912.0,2161.0,531,0.15533352501437608,0.24571957427117075,0.32967107189234657,0.3864885862389566,0.3580798290656516,247,C
2021,용산구,보광동,용산구_보광동,14708.0,2708.0,881,0.1841174870818602,0.32533234859675036,0.4525357909625674,0.5117103097704239,0.4821230503664956,70,A
2021,성동구,왕십리2동,성동구_왕십리2동,16819.0,2552.0,622,0.15173315892740352,0.24373040752351097,0.3143028620959077,0.38335985607418693,0.3488313590850473,265,D
2021,성동구,왕십리도선동,성동구_왕십리도선동,26910.0,3801.0,928,0.14124860646599777,0.24414627729544858,0.2695494125976259,0.38401397132199505,0.32678169195981044,294,D
2021,성동구,마장동,성동구_마장동,22991.0,3925.0,1020,0.17071897699099647,0.25987261146496815,0.39534407515867775,0.4087496834764993,0.40204687931758853,179,C
2021,성동구,사근동,성동구_사근동,13505.0,1508.0,406,0.11166234727878563,0.2692307692307692,0.14326007776411565,0.42346898768917113,0.2833645327266434,356,E
2021,성동구,행당1동,성동구_행당1동,14193.0,2135.0,496,0.1504262664693863,0.2323185011709602,0.3087243745224174,0.3654102419029476,0.3370673082126825,284,D
2021,성동구,행당2동,성동구_행당2동,23376.0,3837.0,820,0.16414271047227927,0.2137086265311441,0.3672731953938021,0.3361390527396079,0.351706124066705,261,D
2021,성동구,응봉동,성동구_응봉동,15458.0,2548.0,522,0.16483374304567214,0.20486656200941916,0.3702228769838219,0.3222315037518183,0.3462271903678201,270,D
2021,성동구,금호1가동,성동구_금호1가동,15315.0,2637.0,676,0.17218413320274242,0.2563519150549867,0.4015981136377484,0.40321203356762947,0.40240507360268896,178,C
2021,성동구,금호2.3가동,성동구_금호2.3가동,22909.0,3887.0,891,0.16967130821947707,0.2292256238744533,0.39087208728607054,0.36054550217969566,0.3757087947328831,220,C
2021,성동구,금호4가동,성동구_금호4가동,14452.0,2406.0,613,0.1664821477996125,0.25477971737323357,0.37725911426526587,0.40073914771345504,0.38899913098936045,201,C
2021,성동구,옥수동,성동구_옥수동,26309.0,4097.0,799,0.15572617735375727,0.1950207468879668,0.3313471135455848,0.30674517069126683,0.31904614211842586,303,D
2021,성동구,성수1가1동,성동구_성수1가1동,16814.0,2292.0,531,0.13631497561555847,0.23167539267015708,0.2484901446964859,0.36439870630994126,0.3064444255032136,320,D
2021,성동구,성수1가2동,성동구_성수1가2동,12874.0,1943.0,410,0.15092434363834084,0.2110138960370561,0.3108504234414445,0.33190055207459485,0.32137548775801966,300,D
2021,성동구,성수2가1동,성동구_성수2가1동,16279.0,2899.0,818,0.1780821917808219,0.2821662642290445,0.4267740539254845,0.4438150313001179,0.4352945426128012,123,B
2021,성동구,성수2가3동,성동구_성수2가3동,10985.0,1913.0,437,0.17414656349567592,0.2284370099320439,0.4099747730451946,0.3593051032876083,0.3846399381664014,208,C
2021,성동구,송정동,성동구_송정동,10915.0,1820.0,535,0.16674301420064133,0.29395604395604397,0.37837262591463927,0.46235899676266645,0.42036581133865286,142,B
2021,성동구,용답동,성동구_용답동,12568.0,2180.0,707,0.17345639719923617,0.32431192660550456,0.4070287891696948,0.5101053035191575,0.45856704634442613,96,B
2021,광진구,화양동,광진구_화양동,26034.0,2328.0,671,0.08942152569716524,0.28823024054982815,0.04832483955368194,0.4533529675518704,0.25083890355277616,381,E
2021,광진구,군자동,광진구_군자동,21500.0,3015.0,853,0.1402325581395349,0.28291873963515757,0.26521239700887717,0.4449985884373579,0.35510549272311753,253,C
2021,광진구,중곡1동,광진구_중곡1동,15862.0,2537.0,666,0.159941999747825,0.2625147812376823,0.3493424066495252,0.4129055121811863,0.38112395941535576,213,C
2021,광진구,중곡2동,광진구_중곡2동,21739.0,3291.0,766,0.15138690832144994,0.23275600121543605,0.3128248868495312,0.3660983790778979,0.33946163296371457,278,D
2021,광진구,중곡3동,광진구_중곡3동,16357.0,2863.0,852,0.17503209635018646,0.29758994062172545,0.41375468163254625,0.4680746976343755,0.44091468963346087,117,B
2021,광진구,중곡4동,광진구_중곡4동,28954.0,5150.0,1236,0.17786834288872003,0.24,0.4258612371287567,0.37749235474006115,0.4016767959344089,182,C
2021,광진구,능동,광진구_능동,11619.0,1637.0,366,0.14088992168000689,0.2235797189981674,0.26801836189090905,0.3516651441530808,0.3098417530219949,316,D
2021,광진구,광장동,광진구_광장동,34834.0,3805.0,562,0.10923235918929781,0.14770039421813402,0.13288764177844667,0.2323157067059947,0.18260167424222068,415,E
2021,광진구,자양1동,광진구_자양1동,23134.0,3479.0,977,0.15038471513789228,0.28082782408738144,0.30854701211973506,0.4417098191303053,0.3751284156250202,224,C
2021,광진구,자양2동,광진구_자양2동,24930.0,4022.0,803,0.1613317288407541,0.19965191447041272,0.35527448348405294,0.3140294638408224,0.3346519736624377,287,D
2021,광진구,자양3동,광진구_자양3동,28330.0,4262.0,764,0.1504412283798094,0.17925856405443455,0.3087882396330153,0.28195307271762743,0.2953706561753214,341,E
2021,광진구,자양4동,광진구_자양4동,21296.0,3732.0,1075,0.17524417731029301,0.28804930332261525,0.4146599519883973,0.45306837413536727,0.43386416306188225,126,B
2021,광진구,구의1동,광진구_구의1동,22139.0,3120.0,802,0.14092777451556077,0.257051282051282,0.2681799372152315,0.4043120572937086,0.33624599725447,285,D
2021,광진구,구의2동,광진구_구의2동,27008.0,4355.0,1008,0.16124851895734596,0.2314580941446613,0.35491930100692076,0.36405692075964563,0.3594881108832832,244,C
