기준연도,자치구명,행정동코드,행정동명,convenience_count,grocery_count,pharmacy_count,medical_count,total_infra_count,infra_score,CDI,CDI_rank,CDI_grade
2021,서초구,11650531,서초4동,37.0,28.0,31.0,269.0,365.0,0.3092,0.6908,415,1
2021,중구,11140550,명동,77.0,66.0,33.0,136.0,312.0,0.318,0.682,416,1
2021,동작구,11590520,노량진2동,19.0,472.0,13.0,14.0,518.0,0.3223,0.6777,417,1
2021,강남구,11680565,청담동,59.0,41.0,28.0,240.0,368.0,0.3227,0.6773,418,1
2021,금천구,11545510,가산동,125.0,72.0,26.0,79.0,302.0,0.3378,0.6622,419,1
2021,영등포구,11560535,영등포동,65.0,131.0,42.0,108.0,346.0,0.3463,0.6537,420,1
2021,강남구,11680545,압구정동,46.0,48.0,36.0,307.0,437.0,0.3694,0.6306,421,1
2021,영등포구,11560540,여의동,99.0,82.0,49.0,151.0,381.0,0.4147,0.5853,422,1
2021,마포구,11440660,서교동,123.0,68.0,36.0,171.0,398.0,0.4148,0.5852,423,1
2021,강남구,11680510,신사동,39.0,42.0,47.0,373.0,501.0,0.4263,0.5737,424,1
2021,강남구,11680521,논현1동,72.0,59.0,49.0,287.0,467.0,0.4404,0.5596,425,1
2021,종로구,11110615,종로1.2.3.4가동,95.0,170.0,55.0,125.0,445.0,0.4591,0.5409,426,1
2021,동대문구,11230545,제기동,28.0,454.0,84.0,84.0,650.0,0.5768,0.4232,427,1
2021,강남구,11680640,역삼1동,173.0,88.0,70.0,441.0,772.0,0.7528,0.2472,428,1
