year,gu,dong,dong_key,total_population,elderly_population,elderly_alone,elderly_ratio,elderly_alone_ratio,elderly_ratio_score,elderly_alone_score,care_shortage_score,경로당_per_1000eld,IVI,IVI_rank,IVI_grade,IVI_v2,IVI_v2_rank,IVI_v2_grade
2021,성동구,옥수동,성동구_옥수동,26309.0,4097.0,799,0.1557261773537572,0.1950207468879668,0.3313471135455848,0.3067451706912668,0.0,3.5791289348857265,0.3190461421184258,303,D,0.22333229948289807,423,1
2021,성동구,성수1가1동,성동구_성수1가1동,16814.0,2292.0,531,0.1363149756155584,0.231675392670157,0.2484901446964859,0.3643987063099412,0.0,3.5791289348857265,0.3064444255032136,320,D,0.21451109785224948,424,1
2021,성동구,성수1가2동,성동구_성수1가2동,12874.0,1943.0,410,0.1509243436383408,0.2110138960370561,0.3108504234414445,0.3319005520745948,0.0,3.5791289348857265,0.3213754877580196,300,D,0.22496284143061374,422,1
2021,성동구,성수2가1동,성동구_성수2가1동,16279.0,2899.0,818,0.1780821917808219,0.2821662642290445,0.4267740539254845,0.4438150313001179,0.0,3.5791289348857265,0.4352945426128012,123,B,0.3047061798289608,387,1
2021,성동구,성수2가3동,성동구_성수2가3동,10985.0,1913.0,437,0.1741465634956759,0.2284370099320439,0.4099747730451946,0.3593051032876083,0.0,3.5791289348857265,0.3846399381664014,208,C,0.26924795671648094,407,1
2021,성동구,송정동,성동구_송정동,10915.0,1820.0,535,0.1667430142006413,0.2939560439560439,0.3783726259146392,0.4623589967626664,0.0,3.5791289348857265,0.4203658113386528,142,B,0.29425606793705694,394,1
2021,성동구,용답동,성동구_용답동,12568.0,2180.0,707,0.1734563971992361,0.3243119266055045,0.4070287891696948,0.5101053035191575,0.0,3.5791289348857265,0.4585670463444261,96,B,0.3209969324410983,376,1
2021,광진구,화양동,광진구_화양동,26034.0,2328.0,671,0.0894215256971652,0.2882302405498281,0.0483248395536819,0.4533529675518704,0.7829118758376332,1.9140421089263964,0.2508389035527761,381,E,0.4104607952382332,277,2
2021,광진구,군자동,광진구_군자동,21500.0,3015.0,853,0.1402325581395349,0.2829187396351575,0.2652123970088771,0.4449985884373579,0.7829118758376332,1.9140421089263964,0.3551054927231175,253,C,0.4834474076574722,159,4
2021,광진구,중곡1동,광진구_중곡1동,15862.0,2537.0,666,0.159941999747825,0.2625147812376823,0.3493424066495252,0.4129055121811863,0.7829118758376332,1.9140421089263964,0.3811239594153557,213,C,0.5016603343420389,136,4
2021,광진구,중곡2동,광진구_중곡2동,21739.0,3291.0,766,0.1513869083214499,0.232756001215436,0.3128248868495312,0.3660983790778979,0.7829118758376332,1.9140421089263964,0.3394616329637145,278,D,0.4724967058258901,173,3
2021,광진구,중곡3동,광진구_중곡3동,16357.0,2863.0,852,0.1750320963501864,0.2975899406217254,0.4137546816325462,0.4680746976343755,0.7829118758376332,1.9140421089263964,0.4409146896334608,117,B,0.5435138454947126,82,5
2021,광진구,중곡4동,광진구_중곡4동,28954.0,5150.0,1236,0.17786834288872,0.24,0.4258612371287567,0.3774923547400611,0.7829118758376332,1.9140421089263964,0.4016767959344089,182,C,0.5160473199053761,119,4
2021,광진구,능동,광진구_능동,11619.0,1637.0,366,0.1408899216800068,0.2235797189981674,0.268018361890909,0.3516651441530808,0.7829118758376332,1.9140421089263964,0.3098417530219949,316,D,0.4517627898666864,205,3
2021,광진구,광장동,광진구_광장동,34834.0,3805.0,562,0.1092323591892978,0.147700394218134,0.1328876417784466,0.2323157067059947,0.7829118758376332,1.9140421089263964,0.1826016742422206,415,E,0.3626947347208444,339,2
2021,광진구,자양1동,광진구_자양1동,23134.0,3479.0,977,0.1503847151378922,0.2808278240873814,0.308547012119735,0.4417098191303053,0.7829118758376332,1.9140421089263964,0.3751284156250202,224,C,0.49746345368880407,146,4
2021,광진구,자양2동,광진구_자양2동,24930.0,4022.0,803,0.1613317288407541,0.1996519144704127,0.3552744834840529,0.3140294638408224,0.7829118758376332,1.9140421089263964,0.3346519736624377,287,D,0.4691299443149963,178,3
2021,광진구,자양3동,광진구_자양3동,28330.0,4262.0,764,0.1504412283798094,0.1792585640544345,0.3087882396330153,0.2819530727176274,0.7829118758376332,1.9140421089263964,0.2953706561753214,341,E,0.4416330220740149,223,3
2021,광진구,자양4동,광진구_자양4동,21296.0,3732.0,1075,0.175244177310293,0.2880493033226152,0.4146599519883973,0.4530683741353672,0.7829118758376332,1.9140421089263964,0.4338641630618822,126,B,0.5385784768946076,86,4
2021,광진구,구의1동,광진구_구의1동,22139.0,3120.0,802,0.1409277745155607,0.257051282051282,0.2681799372152315,0.4043120572937086,0.7829118758376332,1.9140421089263964,0.33624599725447,285,D,0.470245760829419,176,3
2021,광진구,구의2동,광진구_구의2동,27008.0,4355.0,1008,0.1612485189573459,0.2314580941446613,0.3549193010069207,0.3640569207596456,0.7829118758376332,1.9140421089263964,0.3594881108832832,244,C,0.48651524036958815,154,4
2021,광진구,구의3동,광진구_구의3동,28891.0,4127.0,758,0.1428472534699387,0.1836685243518294,0.2763732582715173,0.2888894322883514,0.7829118758376332,1.9140421089263964,0.2826313452799344,357,E,0.432715504447244,239,3
2021,동대문구,용신동,동대문구_용신동,33055.0,5732.0,1973,0.1734079564362426,0.3442079553384508,0.4068220191384255,0.5413994649207232,0.6247560461572095,2.250405876774204,0.4741107420295744,78,A,0.5193043332678648,118,4
2021,동대문구,제기동,동대문구_제기동,26577.0,5787.0,1931,0.2177446664409075,0.3336789355451875,0.5960738464737143,0.5248385296087913,0.6247560461572095,2.250405876774204,0.5604561880412529,29,A,0.5797461454760398,45,5
2021,동대문구,전농1동,동대문구_전농1동,29699.0,5651.0,1852,0.190275766860837,0.3277296053795788,0.4788224888544655,0.515480918553201,0.6247560461572095,2.250405876774204,0.4971517037038332,59,A,0.5354330064398461,92,4
2021,동대문구,전농2동,동대문구_전농2동,18876.0,3662.0,803,0.1940029667302394,0.2192790824685964,0.4947320903123553,0.3449007382762938,0.6247560461572095,2.250405876774204,0.4198164142943246,144,B,0.48129830385319006,163,4
2021,동대문구,답십리1동,동대문구_답십리1동,29373.0,4070.0,944,0.1385626255404623,0.2319410319410319,0.2580842678385351,0.3648165262844162,0.6247560461572095,2.250405876774204,0.3114503970614756,312,D,0.40544209179019575,285,2
2021,동대문구,답십리2동,동대문구_답십리2동,28595.0,5562.0,1306,0.1945095296380486,0.2348076231571377,0.4968943607188215,0.3693253440687701,0.6247560461572095,2.250405876774204,0.4331098523937958,127,B,0.4906037105228199,151,4
2021,동대문구,장안1동,동대문구_장안1동,38794.0,6516.0,1492,0.1679641181626024,0.2289748311847759,0.3835849241691373,0.3601510341672877,0.6247560461572095,2.250405876774204,0.3718679791682125,228,C,0.44773439926491165,210,3
2021,동대문구,장안2동,동대문구_장안2동,32791.0,5211.0,1209,0.1589155560977097,0.2320092112838226,0.3449610184856181,0.3649237645371441,0.6247560461572095,2.250405876774204,0.3549423915113811,255,C,0.4358864879051296,231,3
2021,동대문구,청량리동,동대문구_청량리동,19280.0,5226.0,1849,0.271058091286307,0.3538078836586299,0.8236428986752159,0.5564990463662242,0.6247560461572095,2.250405876774204,0.69007097252072,9,A,0.6704764946116668,19,5
2021,동대문구,회기동,동대문구_회기동,12727.0,1549.0,456,0.121709750923234,0.2943834732085216,0.1861475518118525,0.4630312937418439,0.6247560461572095,2.250405876774204,0.3245894227768482,298,D,0.4146394097909566,268,2
2021,동대문구,휘경1동,동대문구_휘경1동,16105.0,2106.0,500,0.1307668425954672,0.2374169040835707,0.2248078662360173,0.3734294424066764,0.6247560461572095,2.250405876774204,0.2991186543213469,335,D,0.3968098718721056,293,2
2021,동대문구,휘경2동,동대문구_휘경2동,24847.0,3992.0,908,0.1606632591459733,0.2274549098196392,0.3524211118368962,0.3577603729375162,0.6247560461572095,2.250405876774204,0.3550907423872061,254,C,0.43599033351820715,230,3
2021,동대문구,이문1동,동대문구_이문1동,20870.0,3157.0,831,0.1512697652132247,0.263224580297751,0.312324859957842,0.4140219443419264,0.6247560461572095,2.250405876774204,0.3631734021498842,241,C,0.4416481953520818,222,3
