기준연도,자치구명,행정동명,행정동코드,rain_days,heavy_rain_days,total_rainfall,avg_rainfall,max_daily_rainfall,flood_trace_count,flood_trace_area,avg_flood_depth,max_flood_depth,flood_trace_flag,flood_pred_count,flood_pred_level_max,flood_pred_level_mean,flood_pred_weighted_score,flood_pred_flag,rain_exposure_score,flood_trace_score,flood_prediction_score,RII,RII_rank,RII_grade
2019,종로구,창신3동,1101069,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388,1
2019,종로구,숭인1동,1101070,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16666666666666669,0.05555555555555556,273,1
2019,종로구,숭인2동,1101071,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,3.0,1.0,0.0,0.0,0.3095238095238095,0.10317460317460315,206,2
2019,종로구,청운효자동,1101072,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.5,21.0,1.0,0.0,0.0,1.0,0.3333333333333333,18,5
2019,종로구,혜화동,1101073,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,1.0,0.0,0.0,0.4642857142857143,0.15476190476190477,142,3
2019,중구,소공동,1102052,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,3.0,1.0,0.0,0.0,0.3095238095238095,0.10317460317460315,206,2
2019,중구,회현동,1102054,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.16666666666666669,0.05555555555555556,273,1
2019,중구,명동,1102055,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,6.0,1.0,0.0,0.0,0.4642857142857143,0.15476190476190477,142,3
2019,중구,필동,1102057,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,3.0,1.0,0.0,0.0,0.3095238095238095,0.10317460317460315,206,2
2019,중구,장충동,1102058,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2.5,10.0,1.0,0.0,0.0,0.6309523809523809,0.21031746031746032,97,4
2019,중구,광희동,1102059,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.5,21.0,1.0,0.0,0.0,1.0,0.3333333333333333,18,5
2019,중구,을지로동,1102060,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,3.0,1.0,0.0,0.0,0.3095238095238095,0.10317460317460315,206,2
2019,중구,신당5동,1102065,98,7,891.3,2.441917808219178,63.2,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,3.0,1.0,0.0,0.0,0.3095238095238095,0.10317460317460315,206,2
